Textbox1
"Pregled števila dogodkov po letih za 
ReCO: vsi regijski centri
Občina: vse občine v okviru ReCO"

VrstaDogodka,Leto,Textbox63,SkupinaDogodka,Število,Textbox59
NARAVNE NESREČE,2005,670,Potresi,52,11.042
NARAVNE NESREČE,2006,745,Potresi,26,13.236
NARAVNE NESREČE,2007,781,Potresi,43,13.283
NARAVNE NESREČE,2008,960,Potresi,22,12.511
NARAVNE NESREČE,2009,1.075,Potresi,19,13.742
NARAVNE NESREČE,2010,828,Potresi,36,11.665
NARAVNE NESREČE,2011,584,Potresi,22,13.589
NARAVNE NESREČE,2012,1.173,Potresi,19,14.743
NARAVNE NESREČE,2013,1.202,Potresi,34,14.093
NARAVNE NESREČE,2014,1.986,Potresi,52,14.571
NARAVNE NESREČE,2015,841,Potresi,37,14.664
NARAVNE NESREČE,2016,1.193,Potresi,45,15.841
NARAVNE NESREČE,2017,1.207,Potresi,39,15.706
NARAVNE NESREČE,2005,670,Visoko plimovanje morja,12,11.042
NARAVNE NESREČE,2006,745,Visoko plimovanje morja,25,13.236
NARAVNE NESREČE,2007,781,Visoko plimovanje morja,111,13.283
NARAVNE NESREČE,2008,960,Visoko plimovanje morja,44,12.511
NARAVNE NESREČE,2009,1.075,Visoko plimovanje morja,74,13.742
NARAVNE NESREČE,2010,828,Visoko plimovanje morja,58,11.665
NARAVNE NESREČE,2011,584,Visoko plimovanje morja,5,13.589
NARAVNE NESREČE,2012,1.173,Visoko plimovanje morja,19,14.743
NARAVNE NESREČE,2013,1.202,Visoko plimovanje morja,20,14.093
NARAVNE NESREČE,2014,1.986,Visoko plimovanje morja,10,14.571
NARAVNE NESREČE,2015,841,Visoko plimovanje morja,10,14.664
NARAVNE NESREČE,2016,1.193,Visoko plimovanje morja,9,15.841
NARAVNE NESREČE,2017,1.207,Visoko plimovanje morja,,15.706
NARAVNE NESREČE,2005,670,Poplave,117,11.042
NARAVNE NESREČE,2006,745,Poplave,117,13.236
NARAVNE NESREČE,2007,781,Poplave,65,13.283
NARAVNE NESREČE,2008,960,Poplave,152,12.511
NARAVNE NESREČE,2009,1.075,Poplave,342,13.742
NARAVNE NESREČE,2010,828,Poplave,260,11.665
NARAVNE NESREČE,2011,584,Poplave,72,13.589
NARAVNE NESREČE,2012,1.173,Poplave,294,14.743
NARAVNE NESREČE,2013,1.202,Poplave,349,14.093
NARAVNE NESREČE,2014,1.986,Poplave,626,14.571
NARAVNE NESREČE,2015,841,Poplave,242,14.664
NARAVNE NESREČE,2016,1.193,Poplave,340,15.841
NARAVNE NESREČE,2017,1.207,Poplave,255,15.706
NARAVNE NESREČE,2005,670,Plazovi,76,11.042
NARAVNE NESREČE,2006,745,Plazovi,78,13.236
NARAVNE NESREČE,2007,781,Plazovi,44,13.283
NARAVNE NESREČE,2008,960,Plazovi,72,12.511
NARAVNE NESREČE,2009,1.075,Plazovi,113,13.742
NARAVNE NESREČE,2010,828,Plazovi,96,11.665
NARAVNE NESREČE,2011,584,Plazovi,29,13.589
NARAVNE NESREČE,2012,1.173,Plazovi,67,14.743
NARAVNE NESREČE,2013,1.202,Plazovi,168,14.093
NARAVNE NESREČE,2014,1.986,Plazovi,280,14.571
NARAVNE NESREČE,2015,841,Plazovi,62,14.664
NARAVNE NESREČE,2016,1.193,Plazovi,129,15.841
NARAVNE NESREČE,2017,1.207,Plazovi,69,15.706
NARAVNE NESREČE,2005,670,Visok sneg,40,11.042
NARAVNE NESREČE,2006,745,Visok sneg,67,13.236
NARAVNE NESREČE,2007,781,Visok sneg,92,13.283
NARAVNE NESREČE,2008,960,Visok sneg,29,12.511
NARAVNE NESREČE,2009,1.075,Visok sneg,77,13.742
NARAVNE NESREČE,2010,828,Visok sneg,127,11.665
NARAVNE NESREČE,2011,584,Visok sneg,20,13.589
NARAVNE NESREČE,2012,1.173,Visok sneg,161,14.743
NARAVNE NESREČE,2013,1.202,Visok sneg,171,14.093
NARAVNE NESREČE,2014,1.986,Visok sneg,173,14.571
NARAVNE NESREČE,2015,841,Visok sneg,44,14.664
NARAVNE NESREČE,2016,1.193,Visok sneg,71,15.841
NARAVNE NESREČE,2017,1.207,Visok sneg,33,15.706
NARAVNE NESREČE,2005,670,Toča,28,11.042
NARAVNE NESREČE,2006,745,Toča,30,13.236
NARAVNE NESREČE,2007,781,Toča,51,13.283
NARAVNE NESREČE,2008,960,Toča,69,12.511
NARAVNE NESREČE,2009,1.075,Toča,24,13.742
NARAVNE NESREČE,2010,828,Toča,5,11.665
NARAVNE NESREČE,2011,584,Toča,18,13.589
NARAVNE NESREČE,2012,1.173,Toča,8,14.743
NARAVNE NESREČE,2013,1.202,Toča,17,14.093
NARAVNE NESREČE,2014,1.986,Toča,10,14.571
NARAVNE NESREČE,2015,841,Toča,13,14.664
NARAVNE NESREČE,2016,1.193,Toča,48,15.841
NARAVNE NESREČE,2017,1.207,Toča,3,15.706
NARAVNE NESREČE,2005,670,Neurja,255,11.042
NARAVNE NESREČE,2006,745,Neurja,150,13.236
NARAVNE NESREČE,2007,781,Neurja,188,13.283
NARAVNE NESREČE,2008,960,Neurja,390,12.511
NARAVNE NESREČE,2009,1.075,Neurja,297,13.742
NARAVNE NESREČE,2010,828,Neurja,96,11.665
NARAVNE NESREČE,2011,584,Neurja,228,13.589
NARAVNE NESREČE,2012,1.173,Neurja,227,14.743
NARAVNE NESREČE,2013,1.202,Neurja,178,14.093
NARAVNE NESREČE,2014,1.986,Neurja,356,14.571
NARAVNE NESREČE,2015,841,Neurja,97,14.664
NARAVNE NESREČE,2016,1.193,Neurja,265,15.841
NARAVNE NESREČE,2017,1.207,Neurja,392,15.706
NARAVNE NESREČE,2005,670,Močan veter,39,11.042
NARAVNE NESREČE,2006,745,Močan veter,58,13.236
NARAVNE NESREČE,2007,781,Močan veter,76,13.283
NARAVNE NESREČE,2008,960,Močan veter,102,12.511
NARAVNE NESREČE,2009,1.075,Močan veter,70,13.742
NARAVNE NESREČE,2010,828,Močan veter,98,11.665
NARAVNE NESREČE,2011,584,Močan veter,81,13.589
NARAVNE NESREČE,2012,1.173,Močan veter,143,14.743
NARAVNE NESREČE,2013,1.202,Močan veter,178,14.093
