Omejitve
"Omejitve:
Skupina dogodkov: Požari na prometnih sredstvih
ReCO: vse
Občina: vse
Leto: 
2010
Mesec: vse
Dan: vse"

Dogodek,Textbox20,OpisRanga,Textbox24,NastanekDatumCas,PKID,Textbox15
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,1.1.2010 0:57:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,1.1.2010 1:47:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,9.1.2010 2:51:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,26.2.2010 1:35:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,10.3.2010 2:06:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,2.4.2010 2:36:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,7.4.2010 0:01:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,13.4.2010 1:16:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,18.4.2010 0:48:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,7.5.2010 2:18:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,8.5.2010 0:04:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,8.5.2010 2:18:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,30.5.2010 0:22:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,9.6.2010 2:52:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,20.6.2010 2:12:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,11.7.2010 0:35:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,5.8.2010 1:34:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,11.8.2010 0:15:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,15.8.2010 1:53:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,19.8.2010 1:06:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,21.8.2010 2:26:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,29.8.2010 0:38:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,3.9.2010 0:30:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,2.10.2010 1:32:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,7.10.2010 2:09:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,10.10.2010 0:56:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,11.10.2010 2:31:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,13.10.2010 1:54:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,15.10.2010 1:13:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,6.11.2010 2:18:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,6.11.2010 2:30:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,11.11.2010 1:58:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,22.11.2010 0:02:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,25.11.2010 1:01:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,28.11.2010 0:09:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,1.12.2010 0:00:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,29.12.2010 1:05:00,1,437
požari na sredstvih cestnega prometa,394,od 0. do 3. ure,38,31.12.2010 1:39:00,1,437
požari na sredstvih cestnega prometa,394,od 3. do 6. ure,22,2.1.2010 4:14:00,1,437
požari na sredstvih cestnega prometa,394,od 3. do 6. ure,22,8.3.2010 4:39:00,1,437
požari na sredstvih cestnega prometa,394,od 3. do 6. ure,22,15.3.2010 3:21:00,1,437
požari na sredstvih cestnega prometa,394,od 3. do 6. ure,22,8.4.2010 5:25:00,1,437
požari na sredstvih cestnega prometa,394,od 3. do 6. ure,22,6.6.2010 3:50:00,1,437
požari na sredstvih cestnega prometa,394,od 3. do 6. ure,22,6.6.2010 4:07:00,1,437
požari na sredstvih cestnega prometa,394,od 3. do 6. ure,22,9.6.2010 5:36:00,1,437
požari na sredstvih cestnega prometa,394,od 3. do 6. ure,22,4.7.2010 4:25:00,1,437
požari na sredstvih cestnega prometa,394,od 3. do 6. ure,22,20.7.2010 5:54:00,1,437
požari na sredstvih cestnega prometa,394,od 3. do 6. ure,22,30.8.2010 4:57:00,1,437
požari na sredstvih cestnega prometa,394,od 3. do 6. ure,22,1.9.2010 4:40:00,1,437
požari na sredstvih cestnega prometa,394,od 3. do 6. ure,22,14.9.2010 3:46:00,1,437
požari na sredstvih cestnega prometa,394,od 3. do 6. ure,22,28.9.2010 5:48:00,1,437
požari na sredstvih cestnega prometa,394,od 3. do 6. ure,22,13.10.2010 3:27:00,1,437
požari na sredstvih cestnega prometa,394,od 3. do 6. ure,22,23.10.2010 3:17:00,1,437
požari na sredstvih cestnega prometa,394,od 3. do 6. ure,22,30.10.2010 5:43:00,1,437
požari na sredstvih cestnega prometa,394,od 3. do 6. ure,22,8.11.2010 3:39:00,1,437
požari na sredstvih cestnega prometa,394,od 3. do 6. ure,22,14.11.2010 3:41:00,1,437
požari na sredstvih cestnega prometa,394,od 3. do 6. ure,22,6.12.2010 4:07:00,1,437
požari na sredstvih cestnega prometa,394,od 3. do 6. ure,22,17.12.2010 5:48:00,1,437
požari na sredstvih cestnega prometa,394,od 3. do 6. ure,22,22.12.2010 3:09:00,1,437
požari na sredstvih cestnega prometa,394,od 3. do 6. ure,22,29.12.2010 5:38:00,1,437
požari na sredstvih cestnega prometa,394,od 6. do 9. ure,33,7.1.2010 7:41:00,1,437
požari na sredstvih cestnega prometa,394,od 6. do 9. ure,33,27.1.2010 7:18:00,1,437
požari na sredstvih cestnega prometa,394,od 6. do 9. ure,33,29.1.2010 8:14:00,1,437
požari na sredstvih cestnega prometa,394,od 6. do 9. ure,33,19.2.2010 6:42:00,1,437
požari na sredstvih cestnega prometa,394,od 6. do 9. ure,33,2.3.2010 7:33:00,1,437
požari na sredstvih cestnega prometa,394,od 6. do 9. ure,33,10.3.2010 6:44:00,1,437
požari na sredstvih cestnega prometa,394,od 6. do 9. ure,33,11.3.2010 6:57:00,1,437
požari na sredstvih cestnega prometa,394,od 6. do 9. ure,33,23.3.2010 6:24:00,1,437
požari na sredstvih cestnega prometa,394,od 6. do 9. ure,33,7.4.2010 6:53:00,1,437
požari na sredstvih cestnega prometa,394,od 6. do 9. ure,33,10.4.2010 6:25:00,1,437
požari na sredstvih cestnega prometa,394,od 6. do 9. ure,33,5.5.2010 7:53:00,1,437
požari na sredstvih cestnega prometa,394,od 6. do 9. ure,33,7.5.2010 6:31:00,1,437
požari na sredstvih cestnega prometa,394,od 6. do 9. ure,33,24.5.2010 6:31:00,2,437
požari na sredstvih cestnega prometa,394,od 6. do 9. ure,33,28.5.2010 8:27:00,1,437
požari na sredstvih cestnega prometa,394,od 6. do 9. ure,33,29.5.2010 7:07:00,1,437
požari na sredstvih cestnega prometa,394,od 6. do 9. ure,33,30.5.2010 6:14:00,1,437
požari na sredstvih cestnega prometa,394,od 6. do 9. ure,33,11.6.2010 6:27:00,1,437
požari na sredstvih cestnega prometa,394,od 6. do 9. ure,33,19.6.2010 7:56:00,1,437
požari na sredstvih cestnega prometa,394,od 6. do 9. ure,33,20.6.2010 6:32:00,1,437
požari na sredstvih cestnega prometa,394,od 6. do 9. ure,33,30.8.2010 8:59:00,1,437
požari na sredstvih cestnega prometa,394,od 6. do 9. ure,33,1.9.2010 7:06:00,1,437
požari na sredstvih cestnega prometa,394,od 6. do 9. ure,33,2.9.2010 6:42:00,1,437
