Textbox1
"Omejitev izpisa:
Skupina dogodkov: Požari v naravi oziroma na prostem, Požari v komunalnih in drugih zabojnikih, Požari na prometnih sredstvih, Požari v objektih"

Povzrocitev,Leto,PKID,Textbox6
Malomarnost kot posledica prometnih aktivnostii,2005,58,3.097
Malomarnost kot posledica prometnih aktivnostii,2006,94,3.644
Malomarnost kot posledica prometnih aktivnostii,2007,93,3.413
Malomarnost kot posledica prometnih aktivnostii,2008,27,3.218
Malomarnost kot posledica prometnih aktivnostii,2009,24,3.065
Malomarnost kot posledica prometnih aktivnostii,2010,19,2.274
Malomarnost kot posledica prometnih aktivnostii,2011,94,4.840
Malomarnost kot posledica prometnih aktivnostii,2012,36,5.564
Malomarnost kot posledica prometnih aktivnostii,2013,44,4.175
Malomarnost kot posledica prometnih aktivnostii,2014,38,3.593
Malomarnost kot posledica prometnih aktivnostii,2015,27,4.256
Malomarnost kot posledica prometnih aktivnostii,2016,25,4.402
Malomarnost kot posledica prometnih aktivnostii,2017,49,4.913
Malomarnost kot posledica kmetijskih opravil,2005,169,3.097
Malomarnost kot posledica kmetijskih opravil,2006,169,3.644
Malomarnost kot posledica kmetijskih opravil,2007,117,3.413
Malomarnost kot posledica kmetijskih opravil,2008,92,3.218
Malomarnost kot posledica kmetijskih opravil,2009,184,3.065
Malomarnost kot posledica kmetijskih opravil,2010,52,2.274
Malomarnost kot posledica kmetijskih opravil,2011,244,4.840
Malomarnost kot posledica kmetijskih opravil,2012,348,5.564
Malomarnost kot posledica kmetijskih opravil,2013,117,4.175
Malomarnost kot posledica kmetijskih opravil,2014,79,3.593
Malomarnost kot posledica kmetijskih opravil,2015,112,4.256
Malomarnost kot posledica kmetijskih opravil,2016,130,4.402
Malomarnost kot posledica kmetijskih opravil,2017,260,4.913
Malomarnost kot posledica gozdarskih opravil,2005,25,3.097
Malomarnost kot posledica gozdarskih opravil,2006,36,3.644
Malomarnost kot posledica gozdarskih opravil,2007,16,3.413
Malomarnost kot posledica gozdarskih opravil,2008,5,3.218
Malomarnost kot posledica gozdarskih opravil,2009,10,3.065
Malomarnost kot posledica gozdarskih opravil,2010,10,2.274
Malomarnost kot posledica gozdarskih opravil,2011,25,4.840
Malomarnost kot posledica gozdarskih opravil,2012,15,5.564
Malomarnost kot posledica gozdarskih opravil,2013,14,4.175
Malomarnost kot posledica gozdarskih opravil,2014,22,3.593
Malomarnost kot posledica gozdarskih opravil,2015,13,4.256
Malomarnost kot posledica gozdarskih opravil,2016,17,4.402
Malomarnost kot posledica gozdarskih opravil,2017,33,4.913
Malomarnost kot posledica industrijskih aktivnosti,2005,22,3.097
Malomarnost kot posledica industrijskih aktivnosti,2006,12,3.644
Malomarnost kot posledica industrijskih aktivnosti,2007,16,3.413
Malomarnost kot posledica industrijskih aktivnosti,2008,4,3.218
Malomarnost kot posledica industrijskih aktivnosti,2009,10,3.065
Malomarnost kot posledica industrijskih aktivnosti,2010,9,2.274
Malomarnost kot posledica industrijskih aktivnosti,2011,29,4.840
Malomarnost kot posledica industrijskih aktivnosti,2012,24,5.564
Malomarnost kot posledica industrijskih aktivnosti,2013,13,4.175
Malomarnost kot posledica industrijskih aktivnosti,2014,21,3.593
Malomarnost kot posledica industrijskih aktivnosti,2015,23,4.256
Malomarnost kot posledica industrijskih aktivnosti,2016,18,4.402
Malomarnost kot posledica industrijskih aktivnosti,2017,17,4.913
Malomarnost kot posledica vojaških aktivnosti,2005,219,3.097
Malomarnost kot posledica vojaških aktivnosti,2006,87,3.644
Malomarnost kot posledica vojaških aktivnosti,2007,32,3.413
Malomarnost kot posledica vojaških aktivnosti,2008,4,3.218
Malomarnost kot posledica vojaških aktivnosti,2009,6,3.065
Malomarnost kot posledica vojaških aktivnosti,2010,4,2.274
Malomarnost kot posledica vojaških aktivnosti,2011,7,4.840
Malomarnost kot posledica vojaških aktivnosti,2012,2,5.564
Malomarnost kot posledica vojaških aktivnosti,2013,1,4.175
Malomarnost kot posledica vojaških aktivnosti,2014,1,3.593
Malomarnost kot posledica vojaških aktivnosti,2015,5,4.256
Malomarnost kot posledica vojaških aktivnosti,2016,4,4.402
Malomarnost kot posledica vojaških aktivnosti,2017,3,4.913
Malomarnost kot posledica drugih dejavnosti,2005,455,3.097
Malomarnost kot posledica drugih dejavnosti,2006,504,3.644
Malomarnost kot posledica drugih dejavnosti,2007,754,3.413
Malomarnost kot posledica drugih dejavnosti,2008,766,3.218
Malomarnost kot posledica drugih dejavnosti,2009,847,3.065
Malomarnost kot posledica drugih dejavnosti,2010,602,2.274
Malomarnost kot posledica drugih dejavnosti,2011,797,4.840
Malomarnost kot posledica drugih dejavnosti,2012,764,5.564
Malomarnost kot posledica drugih dejavnosti,2013,566,4.175
Malomarnost kot posledica drugih dejavnosti,2014,416,3.593
Malomarnost kot posledica drugih dejavnosti,2015,551,4.256
Malomarnost kot posledica drugih dejavnosti,2016,589,4.402
Malomarnost kot posledica drugih dejavnosti,2017,418,4.913
Namerna povzročitev,2005,544,3.097
Namerna povzročitev,2006,793,3.644
Namerna povzročitev,2007,660,3.413
Namerna povzročitev,2008,281,3.218
Namerna povzročitev,2009,200,3.065
Namerna povzročitev,2010,212,2.274
Namerna povzročitev,2011,437,4.840
Namerna povzročitev,2012,454,5.564
Namerna povzročitev,2013,275,4.175
Namerna povzročitev,2014,224,3.593
Namerna povzročitev,2015,312,4.256
Namerna povzročitev,2016,306,4.402
Namerna povzročitev,2017,330,4.913
Otroška igra,2005,26,3.097
Otroška igra,2006,22,3.644
Otroška igra,2007,16,3.413
Otroška igra,2008,11,3.218
Otroška igra,2009,13,3.065
Otroška igra,2010,7,2.274
Otroška igra,2011,20,4.840
Otroška igra,2012,14,5.564
Otroška igra,2013,10,4.175
Otroška igra,2014,14,3.593
Otroška igra,2015,18,4.256
Otroška igra,2016,16,4.402
Otroška igra,2017,17,4.913
Oseba je zaspala,2005,11,3.097
Oseba je zaspala,2006,25,3.644
Oseba je zaspala,2007,17,3.413
Oseba je zaspala,2008,25,3.218
Oseba je zaspala,2009,23,3.065
Oseba je zaspala,2010,18,2.274
