SkodaRang,Leto,PKID,Textbox6
Ni gmotne škode,2005,696,5.032
Ni gmotne škode,2006,430,5.365
Ni gmotne škode,2007,421,5.788
Ni gmotne škode,2008,702,4.847
Ni gmotne škode,2009,561,5.058
Ni gmotne škode,2010,1.028,3.789
Ni gmotne škode,2011,1.773,5.283
Ni gmotne škode,2012,2.151,5.564
Ni gmotne škode,2013,1.882,4.175
Ni gmotne škode,2014,1.178,3.593
Ni gmotne škode,2015,2.263,4.256
Ni gmotne škode,2016,2.287,4.402
Ni gmotne škode,2017,3.284,4.918
do 10.000 €,2005,514,5.032
do 10.000 €,2006,467,5.365
do 10.000 €,2007,511,5.788
do 10.000 €,2008,270,4.847
do 10.000 €,2009,278,5.058
do 10.000 €,2010,644,3.789
do 10.000 €,2011,975,5.283
do 10.000 €,2012,762,5.564
do 10.000 €,2013,911,4.175
do 10.000 €,2014,499,3.593
do 10.000 €,2015,1.142,4.256
do 10.000 €,2016,1.368,4.402
do 10.000 €,2017,1.251,4.918
10.000 € - 50.000 €,2005,78,5.032
10.000 € - 50.000 €,2006,120,5.365
10.000 € - 50.000 €,2007,148,5.788
10.000 € - 50.000 €,2008,108,4.847
10.000 € - 50.000 €,2009,95,5.058
10.000 € - 50.000 €,2010,97,3.789
10.000 € - 50.000 €,2011,55,5.283
10.000 € - 50.000 €,2012,107,5.564
10.000 € - 50.000 €,2013,130,4.175
10.000 € - 50.000 €,2014,102,3.593
10.000 € - 50.000 €,2015,157,4.256
10.000 € - 50.000 €,2016,158,4.402
10.000 € - 50.000 €,2017,178,4.918
50.000 € - 100.000 €,2005,12,5.032
50.000 € - 100.000 €,2006,22,5.365
50.000 € - 100.000 €,2007,37,5.788
50.000 € - 100.000 €,2008,38,4.847
50.000 € - 100.000 €,2009,28,5.058
50.000 € - 100.000 €,2010,19,3.789
50.000 € - 100.000 €,2011,9,5.283
50.000 € - 100.000 €,2012,21,5.564
50.000 € - 100.000 €,2013,30,4.175
50.000 € - 100.000 €,2014,21,3.593
50.000 € - 100.000 €,2015,43,4.256
50.000 € - 100.000 €,2016,21,4.402
50.000 € - 100.000 €,2017,29,4.918
100.000 € - 1.000.000 €,2005,9,5.032
100.000 € - 1.000.000 €,2006,14,5.365
100.000 € - 1.000.000 €,2007,33,5.788
100.000 € - 1.000.000 €,2008,19,4.847
100.000 € - 1.000.000 €,2009,23,5.058
100.000 € - 1.000.000 €,2010,15,3.789
100.000 € - 1.000.000 €,2011,9,5.283
100.000 € - 1.000.000 €,2012,10,5.564
100.000 € - 1.000.000 €,2013,18,4.175
100.000 € - 1.000.000 €,2014,7,3.593
100.000 € - 1.000.000 €,2015,11,4.256
100.000 € - 1.000.000 €,2016,6,4.402
100.000 € - 1.000.000 €,2017,11,4.918
nad 1.000.000 €,2005,2,5.032
nad 1.000.000 €,2006,3,5.365
nad 1.000.000 €,2007,5,5.788
nad 1.000.000 €,2008,2,4.847
nad 1.000.000 €,2009,2,5.058
nad 1.000.000 €,2010,11,3.789
nad 1.000.000 €,2011,1,5.283
nad 1.000.000 €,2012,4,5.564
nad 1.000.000 €,2013,1,4.175
nad 1.000.000 €,2014,5,3.593
nad 1.000.000 €,2015,2,4.256
nad 1.000.000 €,2016,1,4.402
nad 1.000.000 €,2017,1,4.918
Ni podatka,2005,3.721,5.032
Ni podatka,2006,4.309,5.365
Ni podatka,2007,4.633,5.788
Ni podatka,2008,3.708,4.847
Ni podatka,2009,4.071,5.058
Ni podatka,2010,1.975,3.789
Ni podatka,2011,2.461,5.283
Ni podatka,2012,2.509,5.564
Ni podatka,2013,1.203,4.175
Ni podatka,2014,1.781,3.593
Ni podatka,2015,638,4.256
Ni podatka,2016,561,4.402
Ni podatka,2017,164,4.918

Skupina_dogodka,Leto1,Textbox72,Dogodek,Od,Textbox68
Požari v objektih,2005,3.880.250,Stanovanjske stavbe,630.145,4.280.514
Požari v objektih,2006,6.020.254,Stanovanjske stavbe,1.260.142,6.700.467
Požari v objektih,2007,9.710.225,Stanovanjske stavbe,2.070.131,11.630.511
Požari v objektih,2008,6.070.171,Stanovanjske stavbe,1.580.109,6.880.270
Požari v objektih,2009,6.170.186,Stanovanjske stavbe,1.390.118,6.650.278
Požari v objektih,2010,9.690.350,Stanovanjske stavbe,4.990.250,14.420.644
Požari v objektih,2011,1.480.245,Stanovanjske stavbe,690.135,2.900.975
Požari v objektih,2012,6.720.347,Stanovanjske stavbe,3.010.212,7.120.762
Požari v objektih,2013,4.830.452,Stanovanjske stavbe,1.560.270,5.600.911
Požari v objektih,2014,4.420.275,Stanovanjske stavbe,1.040.169,7.770.499
Požari v objektih,2015,5.920.548,Stanovanjske stavbe,2.390.310,6.821.142
Požari v objektih,2016,3.630.640,Stanovanjske stavbe,1.120.384,4.231.368
Požari v objektih,2017,4.940.585,Stanovanjske stavbe,1.490.339,5.331.251
Požari v objektih,2005,3.880.250,Nestanovanjske stavbe,3.160.083,4.280.514
Požari v objektih,2006,6.020.254,Nestanovanjske stavbe,4.730.095,6.700.467
Požari v objektih,2007,9.710.225,Nestanovanjske stavbe,7.380.080,11.630.511
Požari v objektih,2008,6.070.171,Nestanovanjske stavbe,4.480.059,6.880.270
Požari v objektih,2009,6.170.186,Nestanovanjske stavbe,4.730.061,6.650.278
Požari v objektih,2010,9.690.350,Nestanovanjske stavbe,3.460.083,14.420.644
Požari v objektih,2011,1.480.245,Nestanovanjske stavbe,680.066,2.900.975
Požari v objektih,2012,6.720.347,Nestanovanjske stavbe,3.290.100,7.120.762
Požari v objektih,2013,4.830.452,Nestanovanjske stavbe,1.840.125,5.600.911
Požari v objektih,2014,4.420.275,Nestanovanjske stavbe,2.080.073,7.770.499
Požari v objektih,2015,5.920.548,Nestanovanjske stavbe,3.160.157,6.821.142
Požari v objektih,2016,3.630.640,Nestanovanjske stavbe,820.173,4.231.368
Požari v objektih,2017,4.940.585,Nestanovanjske stavbe,2.070.172,5.331.251
Požari v objektih,2005,3.880.250,Objekti transportne infrastrukture,3,4.280.514
Požari v objektih,2006,6.020.254,Objekti transportne infrastrukture,2,6.700.467
Požari v objektih,2007,9.710.225,Objekti transportne infrastrukture,0,11.630.511
Požari v objektih,2008,6.070.171,Objekti transportne infrastrukture,0,6.880.270
Požari v objektih,2009,6.170.186,Objekti transportne infrastrukture,1,6.650.278
Požari v objektih,2010,9.690.350,Objekti transportne infrastrukture,0,14.420.644
Požari v objektih,2011,1.480.245,Objekti transportne infrastrukture,2,2.900.975
Požari v objektih,2012,6.720.347,Objekti transportne infrastrukture,0,7.120.762
Požari v objektih,2013,4.830.452,Objekti transportne infrastrukture,3,5.600.911
Požari v objektih,2014,4.420.275,Objekti transportne infrastrukture,0,7.770.499
Požari v objektih,2015,5.920.548,Objekti transportne infrastrukture,3,6.821.142
Požari v objektih,2016,3.630.640,Objekti transportne infrastrukture,1.000.001,4.231.368
Požari v objektih,2017,4.940.585,Objekti transportne infrastrukture,2,5.331.251
Požari v objektih,2005,3.880.250,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",20.009,4.280.514
Požari v objektih,2006,6.020.254,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",6,6.700.467
Požari v objektih,2007,9.710.225,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",20.007,11.630.511
Požari v objektih,2008,6.070.171,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",10.000,6.880.270
Požari v objektih,2009,6.170.186,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",50.003,6.650.278
Požari v objektih,2010,9.690.350,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",1.010.003,14.420.644
Požari v objektih,2011,1.480.245,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",23,2.900.975
Požari v objektih,2012,6.720.347,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",7,7.120.762
Požari v objektih,2013,4.830.452,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",17,5.600.911
Požari v objektih,2014,4.420.275,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",15,7.770.499
Požari v objektih,2015,5.920.548,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",20.024,6.821.142
Požari v objektih,2016,3.630.640,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",21,4.231.368
