Textbox1
"Omejitve izpisa:
Leto: 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017
ReCO: vse
Občina: vse
Vrsta enote: Prostovoljna teritorialna gasilska društva, Poklicne gasilske enote, Industrijska gasilska društva"

VrstaDogodka1,Leto1,Textbox40,Dogodek,PKID2,Textbox29
Požari v objektih,2005,3.208,Stanovanjske stavbe,1.730,6.831
Požari v objektih,2006,3.507,Stanovanjske stavbe,1.807,8.550
Požari v objektih,2007,3.714,Stanovanjske stavbe,1.751,8.449
Požari v objektih,2008,3.471,Stanovanjske stavbe,1.848,7.177
Požari v objektih,2009,3.674,Stanovanjske stavbe,2.005,7.910
Požari v objektih,2010,3.172,Stanovanjske stavbe,1.841,5.725
Požari v objektih,2011,3.790,Stanovanjske stavbe,2.102,8.223
Požari v objektih,2012,3.851,Stanovanjske stavbe,2.198,9.137
Požari v objektih,2013,3.672,Stanovanjske stavbe,2.126,7.130
Požari v objektih,2014,3.570,Stanovanjske stavbe,1.988,5.917
Požari v objektih,2015,3.645,Stanovanjske stavbe,2.097,6.955
Požari v objektih,2016,3.970,Stanovanjske stavbe,2.417,7.496
Požari v objektih,2017,3.887,Stanovanjske stavbe,2.180,8.595
Požari v objektih,2005,3.208,Nestanovanjske stavbe,1.251,6.831
Požari v objektih,2006,3.507,Nestanovanjske stavbe,1.518,8.550
Požari v objektih,2007,3.714,Nestanovanjske stavbe,1.731,8.449
Požari v objektih,2008,3.471,Nestanovanjske stavbe,1.431,7.177
Požari v objektih,2009,3.674,Nestanovanjske stavbe,1.459,7.910
Požari v objektih,2010,3.172,Nestanovanjske stavbe,1.060,5.725
Požari v objektih,2011,3.790,Nestanovanjske stavbe,1.224,8.223
Požari v objektih,2012,3.851,Nestanovanjske stavbe,1.248,9.137
Požari v objektih,2013,3.672,Nestanovanjske stavbe,1.141,7.130
Požari v objektih,2014,3.570,Nestanovanjske stavbe,1.168,5.917
Požari v objektih,2015,3.645,Nestanovanjske stavbe,1.175,6.955
Požari v objektih,2016,3.970,Nestanovanjske stavbe,1.072,7.496
Požari v objektih,2017,3.887,Nestanovanjske stavbe,1.133,8.595
Požari v objektih,2005,3.208,Objekti transportne infrastrukture,7,6.831
Požari v objektih,2006,3.507,Objekti transportne infrastrukture,9,8.550
Požari v objektih,2007,3.714,Objekti transportne infrastrukture,11,8.449
Požari v objektih,2008,3.471,Objekti transportne infrastrukture,10,7.177
Požari v objektih,2009,3.674,Objekti transportne infrastrukture,17,7.910
Požari v objektih,2010,3.172,Objekti transportne infrastrukture,9,5.725
Požari v objektih,2011,3.790,Objekti transportne infrastrukture,31,8.223
Požari v objektih,2012,3.851,Objekti transportne infrastrukture,9,9.137
Požari v objektih,2013,3.672,Objekti transportne infrastrukture,14,7.130
Požari v objektih,2014,3.570,Objekti transportne infrastrukture,14,5.917
Požari v objektih,2015,3.645,Objekti transportne infrastrukture,13,6.955
Požari v objektih,2016,3.970,Objekti transportne infrastrukture,29,7.496
Požari v objektih,2017,3.887,Objekti transportne infrastrukture,5,8.595
Požari v objektih,2005,3.208,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",73,6.831
Požari v objektih,2006,3.507,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",69,8.550
Požari v objektih,2007,3.714,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",107,8.449
Požari v objektih,2008,3.471,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",61,7.177
Požari v objektih,2009,3.674,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",70,7.910
Požari v objektih,2010,3.172,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",54,5.725
Požari v objektih,2011,3.790,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",78,8.223
Požari v objektih,2012,3.851,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",66,9.137
Požari v objektih,2013,3.672,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",64,7.130
Požari v objektih,2014,3.570,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",93,5.917
Požari v objektih,2015,3.645,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",57,6.955
Požari v objektih,2016,3.970,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi",65,7.496
