aktivnost,stevilo,enota
DRUGE NESREČE,1,AJDOVEC
DRUGE NESREČE,2,AMBRUS
POŽARI IN EKSPLOZIJE,2,AMBRUS
TEHNIČNA IN DRUGA POMOČ,1,AMBRUS
DRUGE NESREČE,2,ANDRAŽ NAD POLZELO
NESREČE V PROMETU,1,ANDRAŽ NAD POLZELO
POŽARI IN EKSPLOZIJE,1,ANDRAŽ NAD POLZELO
NARAVNE NESREČE,1,BABIČI
POŽARI IN EKSPLOZIJE,4,BABIČI
POŽARI IN EKSPLOZIJE,2,BABNO
DRUGE NESREČE,1,BEGUNJE
POŽARI IN EKSPLOZIJE,11,BEGUNJE
TEHNIČNA IN DRUGA POMOČ,2,BEGUNJE
NARAVNE NESREČE,2,BELTINCI
POŽARI IN EKSPLOZIJE,4,BELTINCI
TEHNIČNA IN DRUGA POMOČ,5,BELTINCI
POŽARI IN EKSPLOZIJE,3,BENEDIKT
TEHNIČNA IN DRUGA POMOČ,7,BENEDIKT
POŽARI IN EKSPLOZIJE,1,BERKOVCI
"NAJDBE NUS, MOTNJE OSKRBE IN POŠKODBE OBJEKTOV",1,BEVČE
NARAVNE NESREČE,3,BEVČE
POŽARI IN EKSPLOZIJE,6,BEVČE
POŽARI IN EKSPLOZIJE,1,BISTRICA OB SOTLI
POŽARI IN EKSPLOZIJE,1,BIŠ
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",1,BITNJE
POŽARI IN EKSPLOZIJE,4,BITNJE
DRUGE NESREČE,1,BIZELJSKO
POŽARI IN EKSPLOZIJE,2,BIZELJSKO
DRUGE NESREČE,2,BIZOVIK
POŽARI IN EKSPLOZIJE,2,BIZOVIK
DRUGE NESREČE,1,BLAGOVICA
NESREČE V PROMETU,2,BLAGOVICA
POŽARI IN EKSPLOZIJE,5,BLAGOVICA
POŽARI IN EKSPLOZIJE,1,BLATNA BREZOVICA
DRUGE NESREČE,6,BLED
NESREČE V PROMETU,30,BLED
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",5,BLED
POŽARI IN EKSPLOZIJE,17,BLED
