aktivnost,stevilo,enota
DRUGE NESREČE,50,GARS JESENICE
NARAVNE NESREČE,3,GARS JESENICE
NESREČE V PROMETU,48,GARS JESENICE
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",26,GARS JESENICE
POŽARI IN EKSPLOZIJE,116,GARS JESENICE
TEHNIČNA IN DRUGA POMOČ,163,GARS JESENICE
DRUGE NESREČE,4,GASILSKI ZAVOD TRBOVLJE
NARAVNE NESREČE,9,GASILSKI ZAVOD TRBOVLJE
NESREČE V PROMETU,23,GASILSKI ZAVOD TRBOVLJE
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",19,GASILSKI ZAVOD TRBOVLJE
POŽARI IN EKSPLOZIJE,28,GASILSKI ZAVOD TRBOVLJE
TEHNIČNA IN DRUGA POMOČ,115,GASILSKI ZAVOD TRBOVLJE
DRUGE NESREČE,41,GB LJUBLJANA
JEDRSKI IN DRUGI DOGODKI,8,GB LJUBLJANA
NARAVNE NESREČE,12,GB LJUBLJANA
NESREČE V PROMETU,320,GB LJUBLJANA
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",106,GB LJUBLJANA
POŽARI IN EKSPLOZIJE,626,GB LJUBLJANA
TEHNIČNA IN DRUGA POMOČ,719,GB LJUBLJANA
DRUGE NESREČE,23,JZ GRS KRANJ
NARAVNE NESREČE,5,JZ GRS KRANJ
NESREČE V PROMETU,179,JZ GRS KRANJ
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",40,JZ GRS KRANJ
POŽARI IN EKSPLOZIJE,190,JZ GRS KRANJ
TEHNIČNA IN DRUGA POMOČ,330,JZ GRS KRANJ
DRUGE NESREČE,25,JZGB MARIBOR
JEDRSKI IN DRUGI DOGODKI,2,JZGB MARIBOR
NARAVNE NESREČE,4,JZGB MARIBOR
NESREČE V PROMETU,89,JZGB MARIBOR
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",33,JZGB MARIBOR
POŽARI IN EKSPLOZIJE,204,JZGB MARIBOR
TEHNIČNA IN DRUGA POMOČ,271,JZGB MARIBOR
DRUGE NESREČE,23,KOROŠKI GASILSKI ZAVOD
NESREČE V PROMETU,50,KOROŠKI GASILSKI ZAVOD
"ONESNAŽENJA, NESREČE Z NEVARNIMI SNOVMI",20,KOROŠKI GASILSKI ZAVOD
